UHF42,Largest Property Use Type - Gross Floor Area (ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Total GHG Emissions (Metric Tons CO2e),number of restaurants,parks superficy,poverty percentage,traffic volume,Borough,NO2 | Annual Average 2009,NO2 | Annual Average 2010,NO2 | Annual Average 2011,NO2 | Annual Average 2012,NO2 | Annual Average 2013,NO2 | Annual Average 2014,NO2 | Annual Average 2015,NO2 | Annual Average 2016,NO2 | Annual Average 2017,NO2 | Annual Average 2018,NO2 | Annual Average 2019,NO2 | Annual Average 2020,NO2 | Annual Average 2021,NO2 | Summer 2009,NO2 | Summer 2010,NO2 | Summer 2011,NO2 | Summer 2012,NO2 | Summer 2013,NO2 | Summer 2014,NO2 | Summer 2015,NO2 | Summer 2016,NO2 | Summer 2017,NO2 | Summer 2018,NO2 | Summer 2019,NO2 | Summer 2020,NO2 | Summer 2021,NO2 | Winter 2008-09,NO2 | Winter 2009-10,NO2 | Winter 2010-11,NO2 | Winter 2011-12,NO2 | Winter 2012-13,NO2 | Winter 2013-14,NO2 | Winter 2014-15,NO2 | Winter 2015-16,NO2 | Winter 2016-17,NO2 | Winter 2017-18,NO2 | Winter 2018-19,NO2 | Winter 2019-20,NO2 | Winter 2020-21,PM2.5 | Annual Average 2009,PM2.5 | Annual Average 2010,PM2.5 | Annual Average 2011,PM2.5 | Annual Average 2012,PM2.5 | Annual Average 2013,PM2.5 | Annual Average 2014,PM2.5 | Annual Average 2015,PM2.5 | Annual Average 2016,PM2.5 | Annual Average 2017,PM2.5 | Annual Average 2018,PM2.5 | Annual Average 2019,PM2.5 | Annual Average 2020,PM2.5 | Annual Average 2021,PM2.5 | Summer 2009,PM2.5 | Summer 2010,PM2.5 | Summer 2011,PM2.5 | Summer 2012,PM2.5 | Summer 2013,PM2.5 | Summer 2014,PM2.5 | Summer 2015,PM2.5 | Summer 2016,PM2.5 | Summer 2017,PM2.5 | Summer 2018,PM2.5 | Summer 2019,PM2.5 | Summer 2020,PM2.5 | Summer 2021,PM2.5 | Winter 2008-09,PM2.5 | Winter 2009-10,PM2.5 | Winter 2010-11,PM2.5 | Winter 2011-12,PM2.5 | Winter 2012-13,PM2.5 | Winter 2013-14,PM2.5 | Winter 2014-15,PM2.5 | Winter 2015-16,PM2.5 | Winter 2016-17,PM2.5 | Winter 2017-18,PM2.5 | Winter 2018-19,PM2.5 | Winter 2019-20,PM2.5 | Winter 2020-21,O3 | 2-Year Summer Average 2009-2010,O3 | Summer 2009,O3 | Summer 2010,O3 | Summer 2011,O3 | Summer 2012,O3 | Summer 2013,O3 | Summer 2014,O3 | Summer 2015,O3 | Summer 2016,O3 | Summer 2017,O3 | Summer 2018,O3 | Summer 2019,O3 | Summer 2020,O3 | Summer 2021,PM2.5_AEDV | Estimated annual rate (under age 18) | 2005-2007,PM2.5_AEDV | Estimated annual rate (under age 18) | 2009-2011,PM2.5_AEDV | Estimated annual rate (under age 18) | 2012-2014,PM2.5_AEDV | Estimated annual rate (under age 18) | 2015-2017,PM2.5_AEDV | Estimated annual rate (age 18+) | 2005-2007,PM2.5_AEDV | Estimated annual rate (age 18+) | 2009-2011,PM2.5_AEDV | Estimated annual rate (age 18+) | 2012-2014,PM2.5_AEDV | Estimated annual rate (age 18+) | 2015-2017,PM2.5_CH | 2005-2007,PM2.5_CH | 2009-2011,PM2.5_CH | 2012-2014,PM2.5_CH | 2015-2017,PM2.5_D | 2005-2007,PM2.5_D | 2009-2011,PM2.5_D | 2012-2014,PM2.5_D | 2015-2017,PM2.5_RH | 2005-2007,PM2.5_RH | 2009-2011,PM2.5_RH | 2012-2014,PM2.5_RH | 2015-2017,O3_AH | Estimated annual rate (age 18+) | 2005-2007,O3_AH | Estimated annual rate (age 18+) | 2009-2011,O3_AH | Estimated annual rate (age 18+) | 2012-2014,O3_AH | Estimated annual rate (age 18+) | 2015-2017,O3_AH | Estimated annual rate (under age 18) | 2005-2007,O3_AH | Estimated annual rate (under age 18) | 2009-2011,O3_AH | Estimated annual rate (under age 18) | 2012-2014,O3_AH | Estimated annual rate (under age 18) | 2015-2017,O3_CRD | 2005-2007,O3_CRD | 2009-2011,O3_CRD | 2012-2014,O3_CRD | 2015-2017,O3_AEDV | Estimated annual rate (age 18+) | 2005-2007,O3_AEDV | Estimated annual rate (age 18+) | 2009-2011,O3_AEDV | Estimated annual rate (age 18+) | 2012-2014,O3_AEDV | Estimated annual rate (age 18+) | 2015-2017,O3_AEDV | Estimated annual rate (under age 18) | 2005-2007,O3_AEDV | Estimated annual rate (under age 18) | 2009-2011,O3_AEDV | Estimated annual rate (under age 18) | 2012-2014,O3_AEDV | Estimated annual rate (under age 18) | 2015-2017
402.0,118200.15368421053,0.5856097560975609,6915217.1,70841.08585365853,1301.9709745762714,11183,520.2259285714285,12.5,85.53949299932704,Queens,25.81,24.18,24.96,22.78,21.89,21.87,21.11,20.53,20.56,19.9,18.67,17.79,18.56,21.66,20.31,20.29,18.85,18.1,16.64,16.3,15.6,15.77,14.92,15.58,12.85,14.75,31.11,27.56,31.99,25.94,26.15,29.51,26.21,25.02,26.77,26.84,24.36,26.72,22.92,10.99,9.89,10.6,9.46,9.13,9.47,9.17,8.14,7.93,7.57,7.35,6.56,7.14,11.13,12.34,11.92,10.77,10.71,9.05,9.98,8.71,9.58,8.89,8.61,7.37,8.99,13.5,9.84,13.05,9.57,10.76,12.41,9.87,8.6,8.48,8.67,8.01,8.24,7.35,27.28,25.7,33.17,33.0,33.58,30.68,30.87,31.57,33.12,29.44,30.33,29.95,30.94,29.19,89.3,75.2,49.02,60.2,22.0,15.6,13.56,14.7,18.4,13.2,8.84,12.7,44.6,33.2,26.29,27.1,12.6,9.6,7.46,8.6,3.2,3.0,3.4,2.3,11.7,9.2,11.0,9.0,3.0,3.0,3.4,3.5,17.3,16.1,18.1,20.7,61.5,72.4,62.0,80.7
403.0,129181.31147540984,0.5141221374045801,6987743.719014085,70030.5141221374,824.7881967213115,8401,1050.55,14.1,89.31262317571871,Queens,22.68,21.48,21.94,19.83,18.71,19.46,19.09,18.24,18.5,17.63,16.26,15.59,15.66,19.25,17.83,17.42,16.49,15.61,14.58,14.46,14.08,13.95,12.95,13.61,11.03,11.69,27.65,24.85,28.98,22.77,22.06,26.95,24.01,22.66,25.52,24.42,21.25,22.92,20.06,10.16,9.34,10.05,8.9,8.39,8.65,8.45,7.22,7.27,6.9,6.61,6.24,6.45,10.23,11.58,11.24,10.07,10.09,8.19,9.32,7.8,8.88,8.35,7.76,7.05,8.24,12.74,9.54,12.56,9.23,9.89,11.46,9.23,7.68,8.01,7.94,7.24,7.83,6.5,28.58,26.29,33.99,33.92,34.46,31.43,32.01,31.88,33.44,30.26,31.28,31.3,31.59,30.79,48.7,38.0,29.26,29.4,13.3,9.3,9.56,7.9,19.2,14.1,9.2,12.8,54.5,43.6,36.51,36.1,15.0,11.3,8.85,10.2,2.2,2.6,2.6,1.4,11.1,11.2,8.8,8.5,5.0,5.4,5.9,5.8,11.3,10.5,13.5,11.9,38.8,40.0,39.2,39.7
404.0,172482.0185185185,0.6148936170212765,10205445.461224489,105984.74255319148,913.1407407407407,2131,877.9025333333334,7.8,128.15772466387108,Queens,20.05,19.23,19.48,17.46,16.41,17.44,17.3,16.43,16.59,15.77,14.17,13.16,13.91,16.77,16.02,15.36,14.59,14.07,12.64,12.65,12.73,12.58,11.72,12.49,8.71,9.97,25.34,22.8,26.19,20.42,19.33,25.08,22.34,20.9,23.82,21.85,18.18,19.92,18.62,9.72,8.98,9.71,8.55,8.08,8.31,8.26,6.88,7.03,6.48,6.21,6.0,6.29,9.87,11.26,11.01,9.84,9.94,7.96,9.07,7.38,8.65,8.0,7.29,6.73,7.9,12.16,9.1,12.12,8.92,9.4,10.87,8.81,7.37,7.87,7.57,6.92,7.65,6.41,28.51,26.29,33.51,33.03,33.84,30.76,32.26,31.27,32.99,30.27,30.98,31.68,30.45,30.14,26.7,22.1,13.44,12.2,8.5,6.7,6.63,4.9,18.3,12.5,8.66,11.7,48.9,34.5,28.43,29.7,15.1,10.2,6.97,8.2,1.8,2.2,2.0,1.2,7.5,8.5,8.3,4.4,4.8,4.5,4.8,5.3,7.5,7.8,9.8,7.0,23.4,27.5,19.5,19.0
405.0,132716.80115273775,0.5867741935483871,7895147.736477987,80694.33697749197,706.0399425287357,5046,501.58980952380955,9.1,90.3964414115107,Queens,24.06,22.61,23.26,20.99,20.3,20.0,19.25,18.65,18.65,17.94,16.24,15.74,16.04,19.91,18.49,18.51,17.24,16.92,14.62,14.32,13.62,13.79,12.54,12.77,10.49,11.26,29.88,26.35,30.69,24.49,24.72,27.94,24.7,23.39,25.06,25.21,22.03,25.26,21.48,10.44,9.52,9.95,8.83,8.51,8.85,8.51,7.56,7.32,6.99,6.56,6.11,6.54,10.56,11.73,11.35,10.2,10.17,8.49,9.33,8.05,8.85,8.33,7.91,6.91,8.34,13.29,9.73,12.3,8.97,10.07,11.63,9.09,8.12,7.93,8.11,7.17,7.7,6.72,27.88,25.58,33.32,32.97,33.3,30.77,31.33,31.81,33.48,30.06,30.96,31.3,30.2,30.47,51.0,51.1,43.55,32.2,19.1,14.9,14.54,12.8,25.2,15.7,11.24,14.5,72.0,45.7,39.01,34.7,18.3,12.4,10.68,10.0,4.2,3.4,3.6,1.9,17.5,16.0,14.6,10.0,6.7,5.5,6.0,5.3,16.2,16.6,19.5,18.4,40.4,56.3,57.6,43.3
406.0,169308.01408450704,0.7868852459016393,15554566.832258064,127504.02622950819,1218.7485714285713,1360,604.0976428571429,11.5,70.98227330008635,Queens,22.78,21.67,22.1,19.78,19.03,19.26,18.78,18.09,18.11,17.34,15.36,14.4,14.9,19.35,18.0,17.57,16.63,16.42,14.13,13.97,13.7,13.83,12.36,12.64,9.49,10.52,28.26,25.28,29.4,23.12,22.57,27.13,23.98,22.71,24.91,24.31,20.31,22.53,20.0,10.0,9.25,9.74,8.63,8.21,8.43,8.19,7.03,7.05,6.55,6.16,5.95,6.27,10.09,11.39,11.08,9.92,9.96,8.01,9.07,7.59,8.61,8.02,7.35,6.68,7.92,12.76,9.57,12.14,9.02,9.68,11.1,8.81,7.5,7.81,7.6,6.83,7.63,6.4,27.97,25.43,33.23,32.93,33.38,30.67,31.8,31.53,33.16,30.07,31.03,31.81,30.5,30.55,54.8,47.7,38.06,36.2,22.2,17.2,16.72,12.7,19.9,14.9,9.37,11.7,52.0,43.4,35.22,30.7,15.2,9.7,8.06,8.5,4.1,3.7,3.3,2.5,12.2,13.6,11.9,13.8,4.9,4.8,5.4,5.1,21.1,20.7,25.6,20.5,49.7,60.9,57.7,54.8
407.0,117288.81553398058,0.5179775280898876,6563158.284210526,60885.25730337079,1190.442718446602,5091,483.64713333333333,10.4,88.0955211638424,Queens,22.93,21.7,22.21,20.01,19.65,19.19,18.68,17.8,17.95,17.19,15.13,14.75,15.1,18.59,17.74,17.53,16.3,16.55,13.61,13.42,12.77,13.34,11.83,11.69,9.47,9.82,29.22,26.12,29.53,23.67,24.45,27.42,24.5,22.91,24.86,23.99,20.41,23.92,21.29,9.96,9.19,9.43,8.32,8.14,8.39,8.05,7.02,6.94,6.56,6.19,5.91,6.3,10.13,11.33,11.03,9.86,9.88,8.06,8.94,7.59,8.43,8.02,7.54,6.69,7.92,12.85,9.67,11.69,8.45,9.74,10.95,8.51,7.51,7.69,7.62,6.86,7.4,6.52,28.36,26.48,34.04,33.63,34.15,31.68,32.51,32.59,34.34,31.16,31.93,33.31,29.73,31.87,81.4,80.0,60.95,43.0,30.6,29.8,23.62,18.6,25.6,19.9,13.3,18.5,49.0,37.1,29.28,27.6,13.4,10.5,8.27,9.0,4.2,4.1,4.1,2.8,14.0,18.6,18.1,11.3,3.9,4.0,4.1,3.8,27.0,35.0,33.9,28.3,63.5,89.0,83.7,61.2
408.0,143426.61165048543,0.896551724137931,13609876.42722513,145407.26666666666,2858.3107843137254,5128,533.82965643,12.0,82.4219727489676,Queens,22.29,21.22,21.54,19.35,18.96,18.81,18.42,17.56,17.69,17.55,15.51,14.24,15.3,18.49,17.87,17.25,16.21,16.57,13.5,13.33,13.11,13.67,12.77,13.05,9.35,10.79,28.35,25.35,28.44,22.78,22.95,26.89,23.94,22.45,24.81,23.83,19.86,22.29,20.88,9.95,9.25,9.57,8.48,8.27,8.46,8.2,6.99,7.08,6.69,6.24,5.97,6.43,10.13,11.39,11.15,9.98,10.07,8.1,9.08,7.57,8.62,8.25,7.48,6.73,7.98,12.69,9.68,11.87,8.8,9.79,10.93,8.63,7.42,7.93,7.71,6.93,7.45,6.69,27.77,26.14,33.52,32.95,33.78,31.12,32.63,32.04,33.86,30.93,31.33,32.83,29.47,30.99,113.6,115.8,91.4,69.6,47.5,41.6,39.6,29.7,24.4,18.9,14.39,19.4,58.2,42.7,36.5,31.7,17.9,12.7,9.85,10.5,7.9,7.5,5.9,4.3,23.4,28.3,23.7,18.0,5.5,5.2,5.4,5.1,47.7,54.1,61.5,49.0,103.9,144.7,133.6,105.7
409.0,176451.48936170212,9.902272727272727,2404336088.9347825,25138266.80454546,130837.13191489362,2374,783.3010333333333,6.2,144.78823466718254,Queens,19.89,19.1,19.29,17.34,16.8,17.28,17.16,16.16,16.44,16.21,14.5,13.02,14.25,16.05,16.15,15.32,14.32,14.59,12.08,12.04,12.13,12.59,12.22,12.99,8.37,9.95,25.88,23.39,25.66,20.53,20.46,25.34,22.67,21.05,24.02,21.61,17.99,20.09,19.78,9.35,8.65,9.17,8.04,7.85,8.02,7.9,6.51,6.75,6.42,6.01,5.78,6.23,9.65,10.98,10.79,9.61,9.75,7.72,8.75,7.06,8.35,8.05,7.18,6.57,7.69,11.72,8.85,11.44,8.31,9.27,10.35,8.23,6.89,7.7,7.46,6.73,7.16,6.48,28.65,27.59,34.29,33.59,34.81,31.79,33.6,32.51,34.3,31.72,31.82,33.42,29.98,31.45,73.8,70.5,53.85,39.5,28.4,27.4,21.89,17.9,19.2,14.5,11.22,17.3,43.0,34.4,27.36,26.3,13.0,10.0,6.92,8.2,4.8,5.0,3.9,3.0,19.7,26.2,24.7,16.1,4.3,4.3,4.3,4.1,29.7,35.5,35.8,28.9,72.9,90.2,83.8,60.1
410.0,176045.59523809524,0.6774647887323944,11988871.409090908,121057.0014084507,946.4833333333333,877,1719.4452324666668,18.0,59.07567696628344,Queens,14.68,14.07,14.27,13.12,12.67,13.77,13.55,11.72,12.66,10.52,10.04,10.55,11.41,8.57,10.1,9.94,8.25,8.04,7.44,6.99,6.22,7.81,6.73,7.33,5.96,4.94,21.03,21.08,20.38,15.89,18.88,22.68,20.67,18.0,21.06,14.41,13.95,17.57,19.05,8.75,7.99,8.44,7.36,7.61,7.69,7.16,5.98,6.32,6.06,5.59,5.33,5.92,9.6,10.74,10.59,9.41,9.45,7.37,8.29,6.87,7.74,7.76,7.02,6.27,7.25,10.21,7.95,10.28,6.73,9.23,9.87,7.4,5.92,7.3,7.0,6.28,6.12,6.33,30.47,33.59,38.98,39.03,40.3,36.84,36.25,37.44,38.18,35.19,35.18,37.44,31.49,34.81,152.7,111.8,57.9,55.0,60.0,47.8,42.29,39.0,28.8,19.8,13.87,21.0,101.1,69.8,49.49,50.2,30.6,18.8,10.21,16.9,9.4,9.0,7.6,4.8,38.1,23.6,18.0,11.0,11.7,9.0,9.4,7.7,58.8,59.7,72.6,63.0,135.2,137.4,91.0,84.8
501.0,158086.88235294117,0.5642857142857143,10731349.0,124633.93571428572,1138.141176470588,1405,530.98,17.0,57.77811413864647,Staten Island,21.35,19.79,21.12,18.78,18.38,17.54,17.36,17.47,16.98,16.77,15.73,14.15,15.66,18.19,17.11,16.93,15.45,15.03,13.12,13.13,13.86,13.28,12.34,14.27,9.8,11.82,26.45,22.81,27.72,22.3,23.64,24.53,22.69,21.29,21.5,22.6,20.12,21.89,20.82,10.22,9.02,9.73,8.55,8.27,8.79,8.34,7.3,7.19,6.78,6.34,5.93,6.37,10.75,11.74,11.31,10.13,9.57,8.32,9.08,8.22,8.61,7.84,7.79,6.88,8.3,12.46,9.34,12.16,8.6,10.06,12.27,8.97,8.12,7.36,8.19,6.86,7.44,6.61,29.2,24.42,32.74,31.02,31.06,28.84,30.23,29.99,33.42,27.0,28.48,27.27,26.96,28.64,106.9,92.0,85.94,66.9,62.6,64.5,53.99,45.6,25.5,16.4,12.49,17.9,65.6,49.1,41.11,41.9,18.5,16.6,13.97,17.4,8.0,12.1,9.8,7.7,20.4,21.2,22.3,24.7,5.6,5.7,5.0,5.2,57.9,84.7,74.4,74.6,92.9,118.8,109.6,107.9
502.0,131088.5,0.6015873015873016,7225621.721538462,74743.24285714286,782.2643835616439,2040,1202.0585425633333,13.1,72.02809413684446,Staten Island,18.41,17.38,18.29,16.01,15.4,15.53,15.28,14.93,14.63,14.26,13.33,12.56,14.28,14.92,13.73,13.93,12.22,11.28,10.62,10.43,10.91,10.3,9.31,11.42,8.02,9.63,23.27,21.8,25.16,19.0,20.93,23.01,21.27,19.35,19.92,20.07,17.83,20.53,20.08,9.63,8.64,9.36,8.18,7.9,8.34,7.82,6.8,6.8,6.36,5.9,5.7,6.25,10.36,11.35,10.96,9.78,9.34,7.89,8.68,7.79,8.15,7.46,7.43,6.56,8.15,11.46,8.83,11.62,8.04,9.55,11.55,8.36,7.43,7.08,7.81,6.44,7.24,6.51,29.44,26.48,34.3,33.17,33.14,30.61,31.14,31.84,34.18,28.83,29.89,29.1,28.33,29.09,82.4,76.1,66.09,49.5,41.6,42.9,39.59,32.0,25.9,16.9,12.74,19.1,80.3,54.3,49.56,50.0,20.2,17.3,16.19,17.6,6.1,9.5,8.6,5.7,13.1,16.0,17.3,15.0,8.7,8.4,7.9,8.4,39.8,58.1,59.3,53.8,73.2,101.7,94.8,78.7
503.0,139315.2857142857,0.465,6650212.178260869,73508.56999999999,1181.2892857142856,1535,2070.784843146667,9.3,88.54142877183833,Staten Island,17.49,16.0,17.17,15.31,14.69,14.56,14.21,14.11,13.86,13.57,12.21,11.78,13.26,14.0,13.07,12.83,11.78,11.13,9.91,9.64,10.16,10.16,9.09,10.36,7.84,8.64,22.46,19.5,23.98,18.73,19.93,21.86,19.93,18.34,18.77,19.5,16.55,18.46,18.87,10.1,8.99,9.63,8.52,8.22,8.68,8.01,7.1,7.05,6.63,5.96,5.62,6.18,10.73,11.68,11.3,10.12,9.53,8.12,8.94,8.09,8.35,7.74,7.39,6.6,7.97,12.19,9.27,11.88,8.48,9.96,12.13,8.75,7.78,7.28,8.01,6.53,6.95,6.5,30.26,26.04,34.45,33.13,32.76,30.48,31.13,31.66,34.68,27.95,29.36,28.8,27.74,29.09,30.2,32.8,26.74,18.8,16.2,16.0,15.9,12.9,27.1,17.8,14.05,16.8,73.8,58.3,57.15,48.4,17.8,13.5,13.54,14.1,3.8,4.7,3.6,2.6,11.1,10.0,7.1,5.6,9.3,9.7,9.8,7.7,16.2,22.3,21.6,21.4,28.0,47.3,35.5,30.4
504.0,118849.64705882352,0.73125,9909967.476470588,100730.75294117647,1053.0166666666667,2618,3871.0167500000002,6.7,67.43830413605612,Staten Island,14.71,13.05,13.5,12.47,11.51,12.59,11.91,11.52,11.7,11.05,10.23,10.56,11.3,10.8,9.5,8.54,8.15,7.62,7.39,6.69,6.73,7.77,6.28,7.82,7.29,5.36,19.31,16.92,20.56,15.98,16.82,20.59,18.29,16.6,17.51,17.21,14.25,15.41,17.54,9.63,8.71,9.29,8.28,7.82,8.2,7.29,6.59,6.58,6.18,5.81,5.34,6.04,10.37,11.25,10.96,9.78,9.13,7.57,8.43,7.54,7.88,7.35,7.25,6.51,7.62,11.62,9.0,11.47,8.5,9.57,11.55,8.05,7.13,6.87,7.57,6.43,6.05,6.5,30.3,27.77,36.53,35.93,35.27,32.66,31.96,34.07,36.17,28.95,30.34,30.14,29.62,30.21,24.0,21.0,19.59,13.7,16.5,11.8,12.32,9.2,23.9,15.2,11.39,15.6,65.0,48.0,44.68,45.9,15.2,11.7,11.8,12.9,3.3,4.2,3.8,1.7,5.4,7.2,6.4,5.1,7.5,7.3,7.2,7.7,16.3,15.9,18.6,13.9,23.6,29.8,29.0,19.3
